Time,Game,Author,Text,Label
2025-08-06T18:10:01.735193+00:00,COD,Sarah Conner,I know people ignore the fact they are known cheaters in America.,0
2025-08-06T18:10:07.702694+00:00,COD,Dastan 0R,"Conner you throwing facts today sara, yeah that's what i said im here for fun, knowing most of them hack at home",0
2025-08-06T18:10:14.91405+00:00,COD,James Thompson,lots of cringey people in here crying that these guys suck and or cheat haha that's why we don't see you children at these events haha,0
2025-08-06T18:10:33.11997+00:00,COD,Florus,meh rebirth competitive is more viewer friendly,0
2025-08-06T18:10:35.129803+00:00,COD,Andi Gio,EVOS still play?,0
2025-08-06T18:10:46.301451+00:00,COD,Dad'nDragons,"James, you sound like a confused uncle",0
2025-08-06T18:10:52.723205+00:00,COD,Lilo,mean they might cheat at home but not at LAN event,0
2025-08-06T18:11:11.141276+00:00,COD,elon tusk,is breadman here ?,0
2025-08-06T18:11:17.27789+00:00,COD,Lilo,only in america?,0
2025-08-06T18:11:18.094402+00:00,COD,Dastan 0R,you can catch some of them if they controller check everyone,0
2025-08-06T18:11:20.956344+00:00,COD,James Thompson,No consistency at all,1
2025-08-06T18:11:39.493158+00:00,COD,Ag Aa,aim assist tournament🤣🤣,0
2025-08-06T18:12:01.130972+00:00,COD,Lilo,who is cheating,0
2025-08-06T18:12:02.262531+00:00,COD,Dastan 0R,they say mouse and keyboard is overpowered haha,0
2025-08-06T18:12:19.673463+00:00,COD,GoodOlUncleBenjen,Show other teams what the heck,0
2025-08-06T18:12:22.284637+00:00,COD,James Thompson,This is disaster,1
2025-08-06T18:12:22.607393+00:00,COD,Sarah Conner,definitely a Netflix documentary coming out on the cheaters like Diaz & shifty. or even scummnn. there are more than a few known cheaters there all are stupid fuckers,1
2025-08-06T18:12:24.56704+00:00,COD,UltraBlox,stop accusing beginner,0
2025-08-06T18:12:36.286184+00:00,COD,Neekduce,Call of duty has been aim assist tournament for decades man you all gotta give it up 😑,0
2025-08-06T18:12:51.466711+00:00,COD,Dastan 0R,This team has no structure,1
2025-08-06T18:12:53.041098+00:00,COD,Sarah Conner,I will cry of laughter when they get caught then sued by the community for lying,0
2025-08-06T18:12:54.716769+00:00,COD,Florus,nobody hates the casual player base enough,0
2025-08-06T18:12:56.353496+00:00,COD,PiXxXC,Is a certain name not allowed to be said in here? haha,0
2025-08-06T18:13:00.01286+00:00,COD,Bddor,i hate it because its in resurgence,0
2025-08-06T18:13:10.265951+00:00,COD,Sarah Conner,He’s not improving,1
2025-08-06T18:13:18.826351+00:00,COD,GoodOlUncleBenjen,AGG havong their best game. And spectator is stuck with SOka looking at a wall,0
2025-08-06T18:13:21.779742+00:00,COD,Sarah Conner,bc they were being investigated for cheating,0
2025-08-06T18:13:22.703178+00:00,COD,James Thompson,sarah just mad HE couldn't get his cheats to work,0
2025-08-06T18:13:49.038945+00:00,COD,Florus,"resurgence is more fun to watch, hope that helps",0
2025-08-06T18:13:56.579102+00:00,COD,Sarah Conner,I dont play this game. its already run by cheaters.,0
2025-08-06T18:13:58.135472+00:00,COD,Pneumonio,No clutch potential,1
2025-08-06T18:14:05.646816+00:00,COD,Dastan 0R,He can’t win a single duel,1
2025-08-06T18:14:34.75184+00:00,COD,DeadShotZM,That was mistake,1
2025-08-06T18:14:54.02048+00:00,COD,UltraBlox,Not even close to impact,1
2025-08-06T18:15:20.821317+00:00,COD,Dastan 0R,don't read if that breaks your crystal build,0
2025-08-06T18:15:22.312176+00:00,COD,Neekduce,I mean yeah when you win back to back $1M tourneys prior you tend to be the topic of conversation haha,0
2025-08-06T18:15:38.861758+00:00,COD,khalid,falcons are too overpowered haha,0
2025-08-06T18:15:39.348415+00:00,COD,KGM's Family,Aren’t the falcons sponsored on oil princes money? Thats why it’s all about them?,0
2025-08-06T18:15:45.061304+00:00,COD,BoMbRYaRRaK24K,So sad teams dont fight them.,0
2025-08-06T18:15:46.371428+00:00,COD,Dastan 0R,poor little soul,0
2025-08-06T18:15:50.322997+00:00,COD,khalid,you all have issues with falcons every time,0
2025-08-06T18:16:24.986627+00:00,COD,UltraBlox,everyone is mad about falcons being the best,0
2025-08-06T18:16:51.781204+00:00,COD,simpleechris dsm,"yeah, gets old hearing about Falcons haha they're all boring dudes haha",0
2025-08-06T18:16:59.539435+00:00,COD,DeadShotZM,"No bro, we ain't mad. why should we?",0
2025-08-06T18:17:01.876547+00:00,COD,WePeX,Useless in clutch,1
2025-08-06T18:17:03.124462+00:00,COD,BoMbRYaRRaK24K,This is embarrassing for him,1
2025-08-06T18:17:06.925636+00:00,COD,Luigi11Ism,That's VP's game,0
2025-08-06T18:17:12.450647+00:00,COD,Shhh Watch,i hope they make a document about these guys,0
2025-08-06T18:17:28.110779+00:00,COD,UltraBlox, friend virtus beginner did horrible in the 2 other games laughing so hard,0
2025-08-06T18:17:29.802675+00:00,COD,Ryan,Yeah these teams are still playing but have no kills losers fuck off,1
2025-08-06T18:18:07.636632+00:00,COD,Sarah Conner,He has no impact,1
2025-08-06T18:18:09.967729+00:00,COD,DeadShotZM,No discipline,1
